media,week,gdelt_tone
abc,2024-05-13/2024-05-19,-2.725133445936867
abc,2024-05-20/2024-05-26,-2.6834738165570107
abc,2024-05-27/2024-06-02,-3.455776620627577
abc,2024-06-03/2024-06-09,-2.5183457888695213
abc,2024-06-10/2024-06-16,-2.752697938425891
abc,2024-06-17/2024-06-23,-2.638672886175575
abc,2024-06-24/2024-06-30,-3.703662882536318
abc,2024-07-01/2024-07-07,-2.964517837787813
abc,2024-07-08/2024-07-14,-3.2530626619591763
abc,2024-07-15/2024-07-21,-2.4398185287556977
abc,2024-07-22/2024-07-28,-2.909022153006483
abc,2024-07-29/2024-08-04,-2.8081334268991207
abc,2024-08-05/2024-08-11,-2.953800207082548
abc,2024-08-12/2024-08-18,-3.0506479281545933
abc,2024-08-19/2024-08-25,-3.1436816557811946
abc,2024-08-26/2024-09-01,-3.1349192784943565
abc,2024-09-02/2024-09-08,-3.193611290938948
abc,2024-09-09/2024-09-15,-3.347327383581728
abc,2024-09-16/2024-09-22,-2.8746004954459354
abc,2024-09-23/2024-09-29,-3.3048277016190695
abc,2024-09-30/2024-10-06,-2.624994493551339
abc,2024-10-07/2024-10-13,-3.1450486892904537
abc,2024-10-14/2024-10-20,-2.730580791434365
abc,2024-10-21/2024-10-27,-3.037210077112001
abc,2024-10-28/2024-11-03,-2.421072625624311
abc,2024-11-04/2024-11-10,-1.7101953428286711
abc,2024-11-11/2024-11-17,-2.2866610290896356
abc,2024-11-18/2024-11-24,-2.5361103621131447
abc,2024-11-25/2024-12-01,-2.645050237488682
abc,2024-12-02/2024-12-08,-2.5195604511633287
abc,2024-12-09/2024-12-15,-2.8799924898575715
abc,2024-12-16/2024-12-22,-3.43527283797227
abc,2024-12-23/2024-12-29,-2.6696277923350307
abc,2024-12-30/2025-01-05,-2.7071018462003016
abc,2025-01-06/2025-01-12,-2.496711929685753
abc,2025-01-13/2025-01-19,-2.794087218734789
abc,2025-01-20/2025-01-26,-2.4050067620875297
abc,2025-01-27/2025-02-02,-2.690349822270599
abc,2025-02-03/2025-02-09,-2.064871711884784
abc,2025-02-10/2025-02-16,-2.3964771557368465
abc,2025-02-17/2025-02-23,-2.7755775189629506
abc,2025-02-24/2025-03-02,-2.0857296028611354
abc,2025-03-03/2025-03-09,-1.9637239704405658
