month,year,topic,topic_id,rank,count,total_articles,percentage,source
9,2021,judge joe brown / investigate new ebola / shoots anti government,1,1,997,1000,99.7,fox
9,2022,judge joe brown / investigate new ebola / shoots anti government,1,1,986,1000,98.6,fox
9,2022,regresado de venezuela / india investiga google / hipoteticos ataques biologicos,0,2,1,1000,0.1,fox
9,2023,judge joe brown / investigate new ebola / shoots anti government,1,1,994,1000,99.4,fox
9,2023,regresado de venezuela / india investiga google / hipoteticos ataques biologicos,0,2,1,1000,0.1,fox
9,2024,judge joe brown / investigate new ebola / shoots anti government,1,1,972,1000,97.2,fox
9,2024,regresado de venezuela / india investiga google / hipoteticos ataques biologicos,0,2,15,1000,1.5,fox
10,2015,judgment terror case / male migrants look / needs free elections,1,1,925,1000,92.5,fox
10,2015,california purchase hepatitis / tobacco companies revive / yorks cuomo nursing,0,2,8,1000,0.8,fox
10,2016,judgment terror case / male migrants look / needs free elections,1,1,937,1000,93.7,fox
10,2016,california purchase hepatitis / tobacco companies revive / yorks cuomo nursing,0,2,3,1000,0.3,fox
10,2017,judgment terror case / male migrants look / needs free elections,1,1,926,1000,92.60000000000001,fox
10,2017,california purchase hepatitis / tobacco companies revive / yorks cuomo nursing,0,2,3,1000,0.3,fox
10,2018,judgment terror case / male migrants look / needs free elections,1,1,919,1000,91.9,fox
10,2018,california purchase hepatitis / tobacco companies revive / yorks cuomo nursing,0,2,3,1000,0.3,fox
10,2019,judgment terror case / male migrants look / needs free elections,1,1,929,1000,92.9,fox
10,2019,california purchase hepatitis / tobacco companies revive / yorks cuomo nursing,0,2,6,1000,0.6,fox
10,2020,judgment terror case / male migrants look / needs free elections,1,1,761,1000,76.1,fox
10,2020,california purchase hepatitis / tobacco companies revive / yorks cuomo nursing,0,2,156,1000,15.6,fox
10,2021,judgment terror case / male migrants look / needs free elections,1,1,812,1000,81.2,fox
10,2021,california purchase hepatitis / tobacco companies revive / yorks cuomo nursing,0,2,70,1000,7.000000000000001,fox
10,2022,judgment terror case / male migrants look / needs free elections,1,1,897,1000,89.7,fox
10,2022,california purchase hepatitis / tobacco companies revive / yorks cuomo nursing,0,2,22,1000,2.1999999999999997,fox
10,2023,judgment terror case / male migrants look / needs free elections,1,1,935,1000,93.5,fox
10,2023,california purchase hepatitis / tobacco companies revive / yorks cuomo nursing,0,2,8,1000,0.8,fox
10,2024,judgment terror case / male migrants look / needs free elections,1,1,948,1000,94.8,fox
10,2024,california purchase hepatitis / tobacco companies revive / yorks cuomo nursing,0,2,4,1000,0.4,fox
11,2015,smuggling refugees / kabul casualties president / court maldives revokes,3,1,134,1000,13.4,fox
11,2015,policias de bolivia / armero deaths foretold / sued piracy,0,2,99,1000,9.9,fox
11,2015,suspect killed california / autopsies begin / profiling chief,4,3,86,1000,8.6,fox
11,2016,obama presidency jeb / debt nearly doubles / protect classified info,2,1,147,1000,14.7,fox
11,2016,policias de bolivia / armero deaths foretold / sued piracy,0,2,128,1000,12.8,fox
11,2016,smuggling refugees / kabul casualties president / court maldives revokes,3,3,125,1000,12.5,fox
11,2017,suspect killed california / autopsies begin / profiling chief,4,1,189,1000,18.9,fox
11,2017,smuggling refugees / kabul casualties president / court maldives revokes,3,2,141,1000,14.099999999999998,fox
11,2017,obama presidency jeb / debt nearly doubles / protect classified info,2,3,54,1000,5.4,fox
11,2018,obama presidency jeb / debt nearly doubles / protect classified info,2,1,176,1000,17.599999999999998,fox
