month,year,topic,rank,count,total_articles,percentage,source
11,2022,"USPEC_POLITICS_GENERAL1,35",3,8,1000,0.8,abc
12,2022,"TAX_WORLDLANGUAGES_RUSSIA,14",1,7,1000,0.7000000000000001,abc
12,2022,"LEADER,32",2,7,1000,0.7000000000000001,abc
12,2022,"USPEC_POLITICS_GENERAL1,32",3,7,1000,0.7000000000000001,abc
1,2023,"TAX_ETHNICITY_ARAB,18",1,6,1000,0.6,abc
1,2023,"TAX_ETHNICITY_ARAB,41",2,6,1000,0.6,abc
1,2023,"LEADER,119",3,5,1000,0.5,abc
2,2023,"LEADER,35",1,10,1000,1.0,abc
2,2023,"USPEC_POLITICS_GENERAL1,35",2,10,1000,1.0,abc
2,2023,"TAX_FNCACT_PRESIDENT,35",3,9,1000,0.8999999999999999,abc
3,2023,"LEADER,39",1,9,1000,0.8999999999999999,abc
3,2023,"USPEC_POLITICS_GENERAL1,39",2,9,1000,0.8999999999999999,abc
3,2023,"USPEC_POLITICS_GENERAL1,35",3,8,1000,0.8,abc
4,2023,"USPEC_POLITICS_GENERAL1,35",1,9,1000,0.8999999999999999,abc
4,2023,"LEADER,25",2,8,1000,0.8,abc
4,2023,"USPEC_POLITICS_GENERAL1,25",3,8,1000,0.8,abc
5,2023,"LEADER,35",1,7,1000,0.7000000000000001,abc
5,2023,"USPEC_POLITICS_GENERAL1,55",2,6,1000,0.6,abc
5,2023,"TAX_ETHNICITY_ARAB,18",3,6,1000,0.6,abc
6,2023,"USPEC_POLITICS_GENERAL1,35",1,7,1000,0.7000000000000001,abc
6,2023,"USPEC_POLITICS_GENERAL1,28",2,6,1000,0.6,abc
6,2023,"LEADER,47",3,6,1000,0.6,abc
7,2023,"MANMADE_DISASTER_IMPLIED,1168",1,6,1000,0.6,abc
7,2023,"TAX_ETHNICITY_ASIAN,23",2,6,1000,0.6,abc
7,2023,"TAX_ETHNICITY_ARAB,18",3,5,1000,0.5,abc
8,2023,"LEADER,35",1,9,1000,0.8999999999999999,abc
8,2023,"TRIAL,529",2,6,1000,0.6,abc
8,2023,"LEADER,74",3,6,1000,0.6,abc
9,2023,"LEADER,38",1,7,1000,0.7000000000000001,abc
9,2023,"TAX_ETHNICITY_ARAB,18",2,7,1000,0.7000000000000001,abc
9,2023,"TAX_ETHNICITY_ARAB,41",3,7,1000,0.7000000000000001,abc
10,2023,"KILL,33",1,9,1000,0.8999999999999999,abc
10,2023,"CRISISLEX_T03_DEAD,33",2,9,1000,0.8999999999999999,abc
10,2023,"TAX_TERROR_GROUP_HAMAS,109",3,9,1000,0.8999999999999999,abc
11,2023,"MANMADE_DISASTER_IMPLIED,51",1,8,1000,0.8,abc
11,2023,"TAX_ETHNICITY_ARAB,18",2,8,1000,0.8,abc
11,2023,"TAX_ETHNICITY_ARAB,41",3,8,1000,0.8,abc
12,2023,"TAX_ETHNICITY_ARAB,18",1,10,1000,1.0,abc
