source,topic,decay_rate,half_life_days,r2,n_obs,avg_tone,first_date
Fox News,"TAX_WORLDMAMMALS_BEAR,90",0.0055543165494269095,124.7943242686562,1.0,2,,2018-07-03 00:45:00
Fox News,"TAX_WORLDMAMMALS_DOGS,2504",0.00019682772238260412,3521.593260183996,1.0,2,,2018-07-31 13:15:00
Fox News,"TAX_WORLDMAMMALS_FOX,1222",1.966316609424687e-05,35251.04641020904,0.037530284223446286,20,,2016-02-09 17:30:00
Fox News,"TAX_WORLDMAMMALS_FOX,138",2.446605828379181e-05,28330.970707248704,0.07853253836581131,34,,2016-05-05 20:15:00
Fox News,"TAX_WORLDMAMMALS_FOX,163",1.2130641500358797e-05,57140.19168231487,0.035700534813067564,57,,2015-03-01 16:15:00
Fox News,"TAX_WORLDMAMMALS_FOX,1695",1.617140089733246e-05,42862.53151229977,0.04054709979824955,23,,2015-09-11 23:15:00
Fox News,"TAX_WORLDMAMMALS_FOX,19",2.296907513613255e-05,30177.409253608064,0.07604227209605074,47,,2015-04-06 20:45:00
Fox News,"TAX_WORLDMAMMALS_FOX,2451",3.239521267531322e-05,21396.59299375917,0.10474421341825058,20,,2016-04-01 22:00:00
Fox News,"TAX_WORLDMAMMALS_FOX,2701",5.520535150321887e-05,12555.796887182754,0.22204876777903737,17,,2018-01-16 23:30:00
Fox News,"TAX_WORLDMAMMALS_FOX,28",3.258242322258878e-05,21273.653461090624,0.001594991874129259,5081,,2015-08-04 17:45:00
Fox News,"TAX_WORLDMAMMALS_FOX,282",1.2211251822517094e-05,56762.99126694019,0.017819509186148275,42,,2017-06-11 14:30:00
Fox News,"TAX_WORLDMAMMALS_FOX,357",1.4214543690243705e-05,48763.23824842115,0.04034998010077273,34,,2015-04-07 21:15:00
Fox News,"TAX_WORLDMAMMALS_FOX,51",1.3016000158770628e-05,53253.470505904916,0.005068637349446847,715,,2016-03-01 23:15:00
Fox News,"TAX_WORLDMAMMALS_FOX,536",1.254076126062646e-05,55271.53943486521,0.030212000544091677,27,,2016-05-10 01:00:00
Fox News,"TAX_WORLDMAMMALS_FOX,62",3.0712751235555805e-05,22568.710150508974,0.1541324486934934,25,,2015-03-16 14:00:00
Fox News,"TAX_WORLDMAMMALS_FOX,83",1.179920452080108e-05,58745.246710316846,0.009945319046264722,60,,2016-08-29 22:15:00
Fox News,"TAX_WORLDMAMMALS_FOX,90",2.5218976164492942e-05,27485.143569621272,0.011209647114026167,310,,2016-03-09 10:45:00
Fox News,"TAX_WORLDMAMMALS_FOX,99",1.355499142829445e-05,51135.936472308065,0.00721918262418253,744,,2016-12-14 22:30:00
Fox News,"TAX_WORLDMAMMALS_HUMANS,280",0.00036073408194676554,1921.4906914790347,1.0,2,,2018-07-03 00:45:00
Fox News,"TERROR,171",2.3640756056379003e-05,29320.00900931055,0.05940012207827128,10,,2015-06-07 10:00:00
Fox News,"TRANSPARENCY,1281",7.20081539360854e-05,9625.954043693222,0.25230181828101594,4,,2016-08-28 04:15:00
Fox News,"TRIAL,1111",1.6882878925734604e-05,41056.219357433154,0.025335519279597873,16,,2015-09-22 14:00:00
Fox News,"TRIAL,1415",2.874540478643016e-05,24113.321266818937,0.030640772042414333,6,,2015-05-01 20:15:00
Fox News,"TRIAL,263",1.7376368492474152e-05,39890.22107007877,0.05922615972714762,34,,2015-02-28 07:00:00
Fox News,"TRIAL,339",1.791384523883539e-05,38693.377737643554,0.0571638746585349,22,,2015-06-29 09:45:00
Fox News,"TRIAL,461",1.0097847122785995e-05,68643.06541102655,0.016213772995752107,25,,2015-09-21 10:45:00
Fox News,"TRIAL,485",2.461483905506961e-05,28159.72832522691,0.056810809004624985,22,,2015-04-15 00:45:00
Fox News,"UNGP_CRIME_VIOLENCE,1205",0.00015978267854094288,4338.062090893867,0.03966810841317536,32,,2017-02-03 18:15:00
Fox News,"UNGP_CRIME_VIOLENCE,333",1.7451940127842724e-05,39717.48559084857,0.03881977299783701,23,,2016-02-24 18:30:00
Fox News,"UNGP_CRIME_VIOLENCE,820",2.6454092289148188e-05,26201.888652376227,0.020714912661643714,7,,2016-02-09 00:15:00
Fox News,"UNGP_CRIME_VIOLENCE,821",8.210582469804742e-05,8442.119461183967,0.1336631168497755,11,,2017-03-20 00:30:00
Fox News,"UNGP_FORESTS_RIVERS_OCEANS,3433",0.00013109888919583465,5287.208646936181,0.7226417550940696,5,,2016-11-04 15:15:00
Fox News,"UNGP_FORESTS_RIVERS_OCEANS,375",1.9957575713006153e-05,34731.0309893114,0.04788261496580681,21,,2016-02-12 23:00:00
Fox News,"UNGP_FREEDOM_FROM_DISCRIMINATION,2944",0.0005300197491609992,1307.7761378838627,1.0,2,,2017-03-20 00:30:00
Fox News,"UNGP_FREEDOM_FROM_DISCRIMINATION,2945",0.00026939260806838137,2573.0,1.0,2,,2017-03-20 00:30:00
Fox News,"UNGP_FREEDOM_FROM_DISCRIMINATION,3019",0.00024425608922178576,2837.788743643415,1.0,2,,2017-03-20 00:30:00
Fox News,"UNGP_FREEDOM_FROM_DISCRIMINATION,3020",0.0002565311549074557,2702.0,1.0,2,,2017-03-20 00:30:00
Fox News,"UNGP_FREEDOM_FROM_DISCRIMINATION,3329",6.406792542858958e-05,10818.942176183471,0.011635592052358756,28,,2017-02-03 18:15:00
Fox News,"UNGP_FREEDOM_FROM_DISCRIMINATION,3382",0.00023600995815376276,2936.940398541799,1.0,2,,2017-03-20 00:30:00
Fox News,"UNGP_FREEDOM_FROM_DISCRIMINATION,3383",0.0003505488988945909,1977.3195201744816,0.9275182798165897,3,,2017-03-20 00:30:00
Fox News,"UNGP_FREEDOM_FROM_DISCRIMINATION,3767",5.970324548966182e-05,11609.87438580655,0.011747651332374764,28,,2017-02-03 18:15:00
Fox News,"UNGP_HEALTHCARE,100",8.789223209890903e-05,7886.33038446351,0.344204953715204,10,,2016-02-03 14:00:00
Fox News,"UNGP_HEALTHCARE,1158",0.00014483703215249191,4785.70411350437,0.7352019833866061,7,,2016-02-03 14:00:00
Fox News,"UNGP_HEALTHCARE,1297",0.00018777432942359795,3691.3841348158007,0.8334794847253969,5,,2016-02-03 14:00:00
Fox News,"UNGP_HEALTHCARE,391",0.0001932650724132576,3586.510339942815,0.9029118866750058,8,,2016-02-03 14:00:00
Fox News,"UNREST_NATIONAL_SELF_DEFENSE,143",0.0779740592515701,8.889458715027562,0.48076923076923084,3,,2024-08-23 11:30:00
Fox News,"UNREST_NATIONAL_SELF_DEFENSE,71",0.0779740592515701,8.889458715027562,0.48076923076923084,3,,2024-08-23 11:30:00
Fox News,"USPEC_POLICY1,2735",6.893349964653641e-05,10055.302343767959,0.2609101054781676,10,,2016-11-04 15:15:00
Fox News,"USPEC_POLICY1,8",2.9424165717113268e-05,23557.071667687313,0.04457051232580689,12,,2017-03-20 18:30:00
Fox News,"USPEC_POLITICS_GENERAL1,1963",2.8372434759030218e-05,24430.303089844423,0.11207201458612426,21,,2015-09-17 20:15:00
Fox News,"USPEC_POLITICS_GENERAL1,451",1.2193422922530882e-05,56845.9886090849,0.05870838939544509,61,,2015-07-31 16:30:00
Fox News,"USPEC_POLITICS_GENERAL1,487",5.300968932643758e-05,13075.858194366954,0.08946680830612197,87,,2016-01-05 07:15:00
Fox News,"USPEC_POLITICS_GENERAL1,8",6.884230681110089e-05,10068.622227635386,0.07632291486466392,330,,2015-09-15 00:45:00
Fox News,"USPEC_UNCERTAINTY1,102",6.876556609373996e-05,10079.858567804995,0.3153530495429211,8,,2016-03-28 15:30:00
Fox News,"USPEC_UNCERTAINTY1,1144",8.047770447956687e-05,8612.909439233994,0.31196477695934255,5,,2016-05-24 17:15:00
Fox News,"USPEC_UNCERTAINTY1,155",2.72779674391223e-05,25410.514258691706,0.00029786010923138484,47,,2016-07-25 13:45:00
Fox News,"USPEC_UNCERTAINTY1,1680",7.67968649698408e-05,9025.722349892198,0.2233393243119206,7,,2016-11-04 15:15:00
Fox News,"USPEC_UNCERTAINTY1,308",0.0007921836422395725,874.982950418362,0.776296063184856,4,,2016-03-28 15:30:00
Fox News,"USPEC_UNCERTAINTY1,680",4.682277766964834e-05,14803.632228962359,0.12614175618329282,7,,2016-08-20 11:15:00
Fox News,"WATER_SECURITY,1517",0.000190986862038702,3629.2924715391387,1.0,2,,2015-04-29 04:00:00
Fox News,"WATER_SECURITY,2361",0.00032052577716060426,2162.53178355959,1.0,2,,2015-04-29 04:00:00
Fox News,"WB_1000_WATER_MANAGEMENT_STRUCTURES,867",0.00012449036171573977,5567.878275931687,1.0,2,,2015-04-29 04:00:00
Fox News,"WB_1014_CRIMINAL_JUSTICE,141",6.375644197810405e-05,10871.798347812346,0.1960118031390744,10,,2017-08-09 12:30:00
Fox News,"WB_1014_CRIMINAL_JUSTICE,20",1.661147023721258e-05,41727.02179047193,0.011179395835387518,9,,2016-07-17 01:15:00
Fox News,"WB_1014_CRIMINAL_JUSTICE,315",2.145797689231166e-05,32302.541103411208,0.035518143564080784,15,,2015-12-01 23:45:00
Fox News,"WB_1014_CRIMINAL_JUSTICE,353",2.5600538365770718e-05,27075.49234537661,0.024125138397032342,11,,2015-03-31 13:30:00
Fox News,"WB_1014_CRIMINAL_JUSTICE,397",2.7584087086465954e-05,25128.51624877721,0.10517226822965964,22,,2015-06-18 15:30:00
Fox News,"WB_1014_CRIMINAL_JUSTICE,503",2.0768019169797966e-05,33375.70015189312,0.04556040133201156,17,,2015-06-17 23:00:00
Fox News,"WB_1014_CRIMINAL_JUSTICE,703",2.2557068021622905e-05,30728.602666601157,0.07310998759188858,20,,2015-11-10 12:00:00
Fox News,"WB_1014_CRIMINAL_JUSTICE,737",5.813539844365458e-05,11922.979787121449,0.03485935481767599,41,,2015-11-03 13:15:00
Fox News,"WB_1014_CRIMINAL_JUSTICE,891",3.3434868439345574e-05,20731.266875399506,0.07094904155732851,11,,2015-09-27 20:00:00
Fox News,"WB_1014_CRIMINAL_JUSTICE,913",1.314480652973956e-05,52731.63808015961,0.022102988756312447,20,,2015-04-15 05:30:00
Fox News,"WB_1039_PROPERTY_LAWS_AND_REGULATIONS,9",2.1639653323289454e-05,32031.344042556946,0.006529650239500584,50,,2018-11-28 22:45:00
Fox News,"WB_1042_TRADEMARKS,9",2.1639653323289454e-05,32031.344042556946,0.006529650239500584,50,,2018-11-28 22:45:00
