Country,Year,Criminal_justice,GDP_per_capita,Political_stability,Population,Refugee_population,Unemployment_rate
Croatia,2019,61.9047622680664,15218.5258037621,70.2830200195312,4065253.0,916.0,6.617
Croatia,2020,59.523811340332,14383.8695000306,66.5094375610352,4047680.0,956.0,7.507
Croatia,2021,58.5714302062988,17943.415126673,66.0377349853516,3878981.0,1020.0,7.608
Croatia,2022,60.8490562438965,18673.1779905036,69.3396224975586,3855641.0,20638.0,6.96
Cyprus,2010,87.2037887573242,31105.02734375,61.6113739013672,1129686.0,3397.0,6.36
Cyprus,2011,83.0985946655273,32485.802734375,66.8246459960938,1145086.0,3498.0,7.942
Cyprus,2012,84.0375595092773,28991.9296875,66.8246459960938,1156556.0,3627.0,12.097
Cyprus,2013,82.6291046142578,27797.453125,64.9289093017578,1166968.0,3879.0,16.131
Cyprus,2014,82.6923065185547,27244.34375,63.8095245361328,1176995.0,5120.0,16.277
Cyprus,2015,80.9523773193359,23487.21875,62.3809509277344,1187280.0,7062.0,15.026
Cyprus,2016,74.7619018554688,24715.142578125,65.2380981445312,1197881.0,8478.0,13.006
Cyprus,2017,78.0952377319336,26697.005859375,64.7619018554688,1208523.0,9790.0,11.155
Cyprus,2018,75.2380981445312,29419.88671875,63.2075462341309,1218831.0,11002.0,8.504
Cyprus,2019,75.2380981445312,29419.9921875,64.1509399414062,1228836.0,12311.0,7.155
Cyprus,2020,68.0952377319336,28281.412109375,56.6037750244141,1237537.0,13997.0,7.755
Cyprus,2021,70.9523773193359,32745.83984375,58.9622650146484,1244188.0,16277.0,7.513
Cyprus,2022,68.8679275512695,32048.248046875,58.4905662536621,1251488.0,29280.0,6.807
Czechia,2010,79.620849609375,19960.0684872157,82.9383850097656,10474410.0,2424.0,7.281
Czechia,2011,81.2206573486328,21871.2660754128,88.6255950927734,10496088.0,2424.0,6.712
Czechia,2012,81.2206573486328,19870.8012123403,86.7298583984375,10510785.0,2780.0,6.979
Czechia,2013,81.6901397705078,20133.1691431353,87.6777267456055,10514272.0,2966.0,6.953
Czechia,2014,84.6153869628906,19890.9199056648,83.3333358764648,10525347.0,3129.0,6.108
Czechia,2015,83.3333358764648,17829.6983223668,81.9047622680664,10546059.0,3640.0,5.048
Czechia,2016,81.4285736083984,18575.2320271915,80.9523773193359,10566332.0,3640.0,3.952
Czechia,2017,82.8571395874023,20636.199952435,83.3333358764648,10594438.0,3640.0,2.893
Czechia,2018,81.4285736083984,23424.4804601855,86.7924499511719,10629928.0,2186.0,2.246
Czechia,2019,81.9047622680664,23664.8478631108,80.1886825561523,10671870.0,2054.0,2.015
Czechia,2020,82.8571395874023,22992.8793833348,77.8301849365234,10697858.0,1919.0,2.551
Czechia,2021,83.3333358764648,26822.5141862111,81.6037750244141,10505772.0,1909.0,2.803
Czechia,2022,83.4905624389648,27226.6156386023,75.0,10672118.0,435212.0,2.224
Denmark,2010,99.052131652832,58041.3984363385,86.2559204101562,5547683.0,17907.0,7.747
